id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
908668984691908284,,94802348,,,,19.40813,-99.18893,,12500.0,4.0,14.0,,0.77,4.0,104,9.0,
908707282910272784,,27449159,,,,19.4298586,-99.1924686,,1990.0,1.0,21.0,,1.14,80.0,349,18.0,
908709440355243686,,27449159,,,,19.4298586,-99.1924686,,3403.0,1.0,7.0,,0.38,80.0,357,6.0,
908710684257607554,,27449159,,,,19.4298586,-99.1924686,,5853.0,1.0,20.0,,1.09,80.0,336,16.0,
908761116742629103,,28584442,,,,19.43181,-99.20279,,754.0,3.0,33.0,,1.81,1.0,239,16.0,
908818382582380918,,513191084,,,,19.4318098,-99.1676561,,460.0,1.0,9.0,,0.55,9.0,365,4.0,
904458808231195870,,517717031,,,,19.4307762,-99.2017477,,4076.0,1.0,115.0,,6.07,8.0,362,42.0,
904466369744485010,,517717031,,,,19.4307762,-99.2017477,,2110.0,1.0,225.0,,,8.0,363,,
904466577809673757,,517717031,,,,19.4307762,-99.2017477,,2070.0,1.0,97.0,,5.1,8.0,363,50.0,
904466578466133251,,517717031,,,,19.4307762,-99.2017477,,2164.0,1.0,42.0,,2.22,8.0,356,13.0,
904466707913579561,,517717031,,,,19.4307762,-99.2017477,,2181.0,1.0,52.0,,2.75,8.0,363,26.0,
904466956930384168,,517717031,,,,19.4307762,-99.2017477,,2624.0,1.0,17.0,,0.9,8.0,347,5.0,
904467289882594398,,517717031,,,,19.4307762,-99.2017477,,4196.0,1.0,186.0,,,8.0,361,,
904495800630120905,,517717031,,,,19.4307762,-99.2017477,,5102.0,1.0,19.0,,1.0,8.0,330,7.0,
904517019047359329,,504653805,,,,19.4307022,-99.1824209,,3322.0,1.0,46.0,,2.44,17.0,343,34.0,
904552269701601083,,256704637,,,,19.397062929181654,-99.16242053605278,,273.0,1.0,54.0,,2.82,4.0,303,25.0,
908881515501450029,,204177968,,,,19.47691,-99.2179,,504.0,1.0,1.0,,0.7,2.0,365,1.0,
908886787572234834,,422351629,,,,19.4339,-99.17951,,1291.0,1.0,93.0,,4.9,2.0,320,56.0,
908895531532096685,,302975254,,,,19.3286,,,479.0,4.0,7.0,,0.45,1.0,206,4.0,
908918228033397594,,441095112,,,,19.40754208177591,-99.1685769559796,,1800.0,2.0,2.0,,0.11,1.0,335,1.0,
908955786568858811,,61013742,,,,19.42391591119183,-99.16380038386086,,530.0,2.0,67.0,,3.6,2.0,155,39.0,
908974278052543073,,8305381,,,,19.309586595979205,-99.13740366697311,,1167.0,1.0,133.0,,7.22,7.0,108,76.0,
909104112679759171,,518854473,,,,19.4529298,-99.1589146,,,1.0,0.0,,,1.0,364,0.0,
909262125273169321,,279000305,,,,19.44239,-99.20086,,2202.0,1.0,53.0,,2.86,8.0,176,37.0,
909290874122324393,,206528935,,,,19.49721,-99.12571,,650.0,1.0,22.0,,1.2,9.0,329,10.0,
909372890060741098,,10764020,,,,19.4148111,-99.1565436,,2266.0,1.0,26.0,,1.43,,354,11.0,
909377988668318152,,2903131,,,,19.41555700149779,-99.16811288465576,,,3.0,9.0,,0.5,1.0,0,0.0,
909413291922821942,,27640175,,,,19.38523,-99.17768,,601.0,30.0,3.0,,0.19,33.0,326,2.0,
909465036990537299,,9988682,,,,19.4333382,-99.1941089,,1343.0,2.0,59.0,,3.31,20.0,87,34.0,
909472811194512669,,94889950,,,,19.432506078460964,-99.19358962646608,,1329.0,2.0,57.0,,3.13,32.0,85,35.0,
909473840703217642,,9988682,,,,19.43272,-99.19277,,1319.0,2.0,63.0,,3.54,20.0,90,42.0,
909474647227052223,,94889950,,,,19.432806963053157,-99.1948037999576,,1141.0,2.0,62.0,,3.43,32.0,87,46.0,
909475930549833205,,94889950,,,,19.4330907,-99.193864,,1169.0,2.0,82.0,,4.42,32.0,90,48.0,
909482966909921856,,36973780,,,,19.3911,-99.14648,,330.0,3.0,12.0,,0.73,1.0,262,7.0,
909519428893275398,,286161576,,,,19.44986,-99.185,,914.0,2.0,0.0,,,3.0,360,0.0,
909523535991033610,,373788437,,,,19.4425054,-99.1961141,,979.0,3.0,4.0,,0.29,11.0,193,3.0,
909542815970907586,,352959504,,,,19.41183,-99.15851,,1448.0,2.0,30.0,,1.62,20.0,326,8.0,
909543496556607841,,3883777,,,,19.3684717,-99.261149,,1450.0,2.0,1.0,,0.05,2.0,359,0.0,
909548972515315683,,518973389,,,,19.4016308,-99.1761767,,1100.0,2.0,27.0,,1.5,2.0,361,10.0,
909594663140596912,,342510087,,,,19.4074979,-99.176522,,500.0,1.0,0.0,,,2.0,364,0.0,
